startTime,endTime,startSessionTime,endSessionTime,duration,x,y,pointCount
1753374440957,1753374441057,18376,18476,100,667.9647772732214,283.7500412312612,2
1753374441250,1753374441351,18669,18770,101,454.0274178332686,311.85414805694404,2
1753374441351,1753374441451,18770,18870,100,470.56163434650637,280.6490374257199,2
1753374441451,1753374441594,18870,19013,143,502.06868867104777,281.3839197829136,3
1753374441594,1753374441960,19013,19379,366,522.3379524653393,290.5596825072217,7
1753374441960,1753374442115,19379,19534,155,478.03341400600857,272.2730520108826,3
1753374442115,1753374442325,19534,19744,210,424.401348244631,255.6163506536127,4
1753374442376,1753374442478,19795,19897,102,536.9952193674025,288.8368129383432,2
1753374442724,1753374442874,20143,20293,150,682.6200878719741,357.9110978896851,3
1753374442969,1753374443074,20388,20493,105,720.4100879438719,408.93556652666916,2
1753374443074,1753374443175,20493,20594,101,691.7450320812937,386.0993748500352,2
1753374443175,1753374443276,20594,20695,101,657.1809589040304,369.21165984876137,2
1753374443276,1753374443427,20695,20846,151,695.0307625215547,356.61178349371085,3
1753374443526,1753374443681,20945,21100,155,790.0126988261854,368.43704161603864,3
1753374443734,1753374444307,21153,21726,573,841.8544117921106,348.3829410990439,11
1753374444307,1753374444409,21726,21828,102,844.3303387255326,429.06617723167125,2
1753374444409,1753374444514,21828,21933,105,851.090029636807,450.35610215739246,2
1753374444514,1753374445257,21933,22676,743,836.026938458901,424.79652595375103,14
1753374445257,1753374445653,22676,23072,396,819.0913812775325,466.17571693775466,7
1753374445653,1753374446592,23072,24011,939,820.7425855254271,494.9081143432954,18
1753374446592,1753374447019,24011,24438,427,864.8160323720011,513.2127031568638,8
1753374447019,1753374447180,24438,24599,161,865.6732267055874,530.3018361460983,3
1753374447180,1753374447293,24599,24712,113,876.3824839807017,528.1320231394262,2
1753374447293,1753374447625,24712,25044,332,832.2333429038275,521.3754462892576,6
1753374447625,1753374447742,25044,25161,117,813.878887028902,517.7153156126776,2
1753374447742,1753374448118,25161,25537,376,833.2344176640502,507.0475583191891,7
1753374448118,1753374448551,25537,25970,433,803.8631446383458,491.3588231341947,8
1753374448551,1753374448968,25970,26387,417,770.84585190904,464.4207621603203,7
1753374448968,1753374449142,26387,26561,174,761.4412448664547,433.08863727583315,3
1753374449142,1753374449252,26561,26671,110,750.3670336389123,420.5877867139268,2
1753374449252,1753374449516,26671,26935,264,762.5483143483345,423.13146193486836,5
1753374449516,1753374449626,26935,27045,110,722.5802305874286,396.85304461004705,2
1753374449626,1753374449786,27045,27205,160,686.8188201522421,371.9136428399108,3
1753374449786,1753374449950,27205,27369,164,664.5916836465943,352.39147494216314,3
1753374449950,1753374450293,27369,27712,343,629.0033147471413,332.7724051236412,6
1753374450293,1753374450465,27712,27884,172,663.0132995772403,305.74052980754817,3
1753374450526,1753374451214,27945,28633,688,710.523429162235,301.9734705117467,12
1753374451214,1753374451319,28633,28738,105,673.3535458459955,333.82964502049197,2
1753374451319,1753374451569,28738,28988,250,624.6136773346728,339.81515325804173,5
1753374451569,1753374451901,28988,29320,332,597.7836285808653,338.31483575141795,7
1753374451901,1753374452518,29320,29937,617,632.8565395220621,340.3708595935649,12
1753374452518,1753374452669,29937,30088,151,584.9720780166255,351.40980140920664,3
1753374452669,1753374453280,30088,30699,611,564.9895788273602,380.4858978659862,11
1753374453280,1753374453450,30699,30869,170,552.2783932609631,393.35163675008283,3
1753374453450,1753374453562,30869,30981,112,558.4669220137719,404.5303841257689,2
1753374453562,1753374453836,30981,31255,274,538.7708829527314,436.29202874248347,5
1753374453836,1753374454049,31255,31468,213,590.3567816285627,439.9370165870348,4
1753374454101,1753374454208,31520,31627,107,612.7440087122809,515.3323875794208,2
1753374454208,1753374454378,31627,31797,170,614.604650169184,556.69117679876,3
1753374454378,1753374454478,31797,31897,100,612.5530960067024,595.538822682296,2
1753374454478,1753374454627,31897,32046,149,603.0146465484762,634.5736246795369,3
1753374454627,1753374454826,32046,32245,199,568.989264700529,638.9927137876638,4
1753374455119,1753374455408,32538,32827,289,670.2800926779003,629.3953079770894,6
1753374455408,1753374455604,32827,33023,196,694.4775633375613,623.4248456732396,4
1753374455604,1753374455814,33023,33233,210,692.9434630122537,587.0121799523016,4
1753374455814,1753374455917,33233,33336,103,669.5273941128341,551.70060663703,2
1753374455917,1753374456075,33336,33494,158,656.4615592689062,516.5669685929435,3
1753374456075,1753374456175,33494,33594,100,637.8000083786976,484.8618327551136,2
1753374456175,1753374456474,33594,33893,299,613.5809391979002,465.31948401495396,6
1753374456674,1753374456776,34093,34195,102,496.04885899478586,491.8110298163361,2
1753374456776,1753374456927,34195,34346,151,483.84767004808435,538.0813735108331,3
1753374456975,1753374457120,34394,34539,145,422.80393399106674,525.3886814942595,3
1753374457120,1753374457261,34539,34680,141,436.2657535121836,498.23650665730366,3
1753374457353,1753374457454,34772,34873,101,396.4336781154601,524.8324255609707,2
1753374457649,1753374457752,35068,35171,103,340.8738326809005,314.7421269106751,2
1753374457752,1753374457966,35171,35385,214,361.70247107862156,298.76079229070695,4
1753374457966,1753374458075,35385,35494,109,375.14638661079937,315.5717503220576,2
1753374458075,1753374458285,35494,35704,210,375.22245972294303,352.7863781201522,4
1753374458285,1753374458713,35704,36132,428,408.01844256054653,422.06631569351754,8
1753374458713,1753374458815,36132,36234,102,345.97628486760345,397.3480659964639,2
1753374458815,1753374459022,36234,36441,207,295.8187639753578,381.8063961780899,4
1753374459022,1753374459234,36441,36653,212,287.09342282657707,369.5448180113632,4
1753374459234,1753374459343,36653,36762,109,320.84133423249494,372.0475283800322,2
1753374459591,1753374459693,37010,37112,102,583.7788768939074,386.66676316209436,2
1753374459693,1753374459993,37112,37412,300,631.8656452354345,383.2715936754125,6
1753374459993,1753374460142,37412,37561,149,568.3194559892553,391.9827819753373,3
1753374460142,1753374460243,37561,37662,101,547.6290145478706,394.7794818127312,2
1753374460243,1753374460352,37662,37771,109,576.9905442868219,384.3596410708741,2
1753374460352,1753374460461,37771,37880,109,616.7875356594335,372.1953888115644,2
1753374460513,1753374460625,37932,38044,112,722.4403295032147,355.4182197241896,2
1753374460625,1753374460729,38044,38148,104,751.177145199701,352.09023961148057,2
1753374460729,1753374460996,38148,38415,267,797.8452529696013,340.44764239501774,5
1753374460996,1753374461209,38415,38628,213,819.5657798675342,341.78262688613813,4
1753374461209,1753374461361,38628,38780,152,778.7885239529757,335.8833337578015,3
1753374461361,1753374461462,38780,38881,101,733.0381659184555,331.82536992210953,2
1753374461559,1753374461659,38978,39078,100,646.5290762124453,343.71343284232705,2
1753374461659,1753374461809,39078,39228,150,607.1047660116154,355.63134852999104,3
1753374461809,1753374462109,39228,39528,300,572.8452903821634,370.20624240426696,6
1753374462109,1753374462260,39528,39679,151,537.5152646536784,385.0171007383431,3
1753374462260,1753374462909,39679,40328,649,510.62852701699825,398.24976613056975,12
1753374462909,1753374463247,40328,40666,338,520.6264540174772,436.423986059606,6
1753374463247,1753374463975,40666,41394,728,543.0299880388077,438.71507852360895,14
1753374463975,1753374464075,41394,41494,100,546.7621907147849,408.2527880713531,2
1753374464174,1753374464274,41593,41693,100,605.5973431106886,374.8946057584045,2
1753374464274,1753374464374,41693,41793,100,658.4725186147664,363.8620835647178,2
1753374464421,1753374464574,41840,41993,153,752.1403525222967,375.52438126277156,3
1753374464574,1753374464926,41993,42345,352,778.3292709720354,392.45532556511745,7
1753374464926,1753374465028,42345,42447,102,821.0808183472859,416.57410935614257,2
1753374465174,1753374465331,42593,42750,157,858.6730114855678,526.0549453143216,3
1753374465331,1753374465593,42750,43012,262,843.4283452407637,561.1700806609668,5
1753374465593,1753374465792,43012,43211,199,842.5893430355312,568.168798739433,4
1753374465792,1753374466359,43211,43778,567,844.731030943611,544.2255582525864,11
1753374466359,1753374466616,43778,44035,257,862.9590135994625,539.6817087400038,5
1753374466616,1753374466854,44035,44273,238,830.3866694599456,508.1041628590823,5
1753374466854,1753374467059,44273,44478,205,811.2170336156184,496.7275339037655,4
1753374467059,1753374467409,44478,44828,350,785.0905254061456,485.635982686441,7
1753374467409,1753374467748,44828,45167,339,809.501409983007,514.6661547547035,7
1753374467748,1753374467886,45167,45305,138,792.4152096817811,544.1518539423578,3
1753374467886,1753374468437,45305,45856,551,774.1971051720625,558.6240752396029,12
1753374468437,1753374468693,45856,46112,256,802.7794312212789,516.791948266063,5
1753374468792,1753374469350,46211,46769,558,757.9434975469375,484.5074848452384,11
1753374469350,1753374469459,46769,46878,109,726.1911837460846,451.1693443788898,2
1753374469459,1753374469913,46878,47332,454,697.299215151312,427.13900388639627,9
1753374469913,1753374470016,47332,47435,103,668.0777740273413,402.3460902048556,2
1753374470016,1753374470176,47435,47595,160,648.6055749893917,365.6977176755682,3
1753374470176,1753374470634,47595,48053,458,628.7793119140064,323.3557623464079,9
1753374470634,1753374471051,48053,48470,417,619.0014816774477,326.62439422114534,8
1753374471051,1753374471236,48470,48655,185,618.8585019713937,345.5880184031456,4
1753374471236,1753374471993,48655,49412,757,592.0008978888684,352.6023269558672,15
1753374471993,1753374472147,49412,49566,154,593.6727191015934,391.1326044481711,3
1753374472147,1753374472294,49566,49713,147,579.1932156816234,415.8184731963233,3
1753374472491,1753374472644,49910,50063,153,561.7512503656335,415.99685760202334,3
1753374472644,1753374472745,50063,50164,101,578.4409447607243,433.3485273464148,2
1753374472745,1753374473007,50164,50426,262,551.197510114702,459.1324803936308,5
1753374473007,1753374473110,50426,50529,103,580.201008997635,479.75552108506486,2
1753374473110,1753374473211,50529,50630,101,636.526792219136,488.93119069490956,2
1753374473310,1753374473508,50729,50927,198,745.4123232305112,488.54090261346016,4
1753374473559,1753374473663,50978,51082,104,810.2561724605375,458.47609648145203,2
1753374473716,1753374473820,51135,51239,104,865.385652265332,404.55194719163705,2
1753374473820,1753374473926,51239,51345,106,905.0528760719526,373.8367598748457,2
1753374473926,1753374474030,51345,51449,104,929.8310626407131,345.15551370419246,2
1753374474030,1753374474132,51449,51551,102,971.8116016904584,320.3368478365558,2
1753374474132,1753374474234,51551,51653,102,1012.7118177582229,304.16905803740974,2
